Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
4;Quader;2;125;55;54.82412
4;Quader;2;125;55;55.820457
4;Quader;2;125;55;56.70819
4;Quader;2;125;55;53.63415
4;Quader;2;125;55;54.95256
4;Quader;2;125;55;55.509792
4;Quader;2;125;55;56.649054
4;Quader;2;125;55;53.6571
4;Quader;2;125;55;54.98904
4;Quader;2;125;55;56.15533
4;Quader;2;125;55;55.951896
4;Quader;2;125;55;54.0702
4;Quader;2;125;55;54.670752
4;Quader;2;125;55;55.8558
4;Quader;2;125;55;55.97592
4;Quader;2;125;55;53.550375
4;Quader;2;125;55;55.20108
4;Quader;2;125;55;55.889488
4;Quader;2;125;55;55.711496
4;Quader;2;125;55;53.7489
4;Quader;2;125;55;55.10684
4;Quader;2;125;55;56.503986
4;Quader;2;125;55;56.203532
4;Quader;2;125;55;54.03258
4;Quader;2;125;55;54.87124
4;Quader;2;125;55;56.644896
4;Quader;2;125;55;55.52162
4;Quader;2;125;55;54.0702
4;Quader;2;125;55;55.700722
4;Quader;2;125;55;57.14982
4;Quader;2;125;55;55.676775
4;Quader;2;125;55;53.184375
4;Quader;2;125;55;55.652828
4;Quader;2;125;55;57.331248
4;Quader;2;125;55;55.45001
4;Quader;2;125;55;53.75442
4;Quader;2;125;55;56.12178
4;Quader;2;125;55;57.02697
4;Quader;2;125;55;55.73568
4;Quader;2;125;55;53.75442
4;Quader;2;125;55;55.892538
4;Quader;2;125;55;57.158712
4;Quader;2;125;55;54.866119
